"icao","iata","name","city","country","latitude","longitude"
"FQMR","","Marrupa Airport","Marrupa","Mozambique","-13.22509956","37.55210114"
"FQNC","MNC","Nacala Airport","Nacala","Mozambique","-14.48820019","40.71220016"
"FQNP","APL","Nampula Airport","Nampula","Mozambique","-15.10560036","39.28179932"
"FQPB","POL","Pemba Airport","Pemba","Mozambique","-12.99176216","40.52401352"
"FQPO","PDD","Ponta do Ouro Airport","Ponta do Ouro","Mozambique","-26.82855225","32.83770752"
"FQQL","UEL","Quelimane Airport","Quelimane","Mozambique","-17.85549927","36.86909866"
"FQSG","","Songo Airport","Songo","Mozambique","-15.60270023","32.77320099"
"FQTT","TET","Chingozi Airport","Tete","Mozambique","-16.10479927","33.64020157"
"FQUG","","Ulongwe Airport","Ulongwe","Mozambique","-14.70460033","34.35240173"
"FQVL","VNX","Vilankulo Airport","Vilankulu","Mozambique","-22.01840019","35.31330109"
"FQXA","VJB","Xai-Xai Airport","Xai-Xai","Mozambique","-25.03779984","33.62739944"
"FSAL","","Alphonse Airport","Alphonse","Seychelles","-7.00478","52.7262"
"FSAS","","Assumption Island Airport","Assumption Island","Seychelles","-9.742219999","46.506802"
"FSDR","DES","Desroches Airport","Desroches","Seychelles","-5.6967","53.6558"
"FSFA","","Farquhar Airport","Farquhar","Seychelles","-10.1096","51.176102"
"FSIA","SEZ","Seychelles International Airport","Mahe","Seychelles","-4.67434","55.521801"
"FSPP","PRI","Praslin Airport","Praslin","Seychelles","-4.319290161","55.69139862"
"FSSB","BDI","Bird Island Airport","Bird Island","Seychelles","-3.72472","55.205299"
"FSSC","","Coetivy Airport","Coetivy","Seychelles","-7.13457","56.278198"
"FSSD","DEI","Denis Island Airport","Denis Island","Seychelles","-3.80222","55.666901"
"FSSF","FRK","Frégate Island Airport","Frégate Island","Seychelles","-4.583","55.950001"
"FTTA","SRH","Sarh Airport","Sarh","Chad","9.14444","18.374399"
"FTTB","OGR","Bongor Airport","Bongor","Chad","10.28810024","15.3810997"
"FTTC","AEH","Abeche Airport","Abeche","Chad","13.84700012","20.84429932"
"FTTD","MQQ","Moundou Airport","Moundou","Chad","8.624409676","16.07139969"
"FTTH","LTC","Lai Airport","Lai","Chad","9.3979","16.3125"
"FTTI","ATV","Ati Airport","Ati","Chad","13.23890018","18.31329918"
"FTTJ","NDJ","N'Djamena International Airport","N'djamena","Chad","12.1337","15.034"
"FTTK","BKR","Bokoro Airport","Bokoro","Chad","12.38300037","17.06699944"
"FTTL","OTC","Bol Airport","Bol","Chad","13.44330025","14.73939991"
"FTTM","MVO","Mongo Airport","Mongo","Chad","12.16699982","18.67499924"
"FTTN","AMC","Am Timan Airport","Am Timan","Chad","11.0340004","20.27400017"
"FTTP","PLF","Pala Airport","Pala","Chad","9.378060341","14.92500019"
"FTTS","OUT","Bousso Airport","Bousso","Chad","10.4829998","16.71699905"
"FTTU","AMO","Mao Airport","Mao","Chad","14.14560032","15.31439972"
"FTTY","FYT","Faya Largeau Airport","Faya-largeau","Chad","17.91710091","19.11109924"
"FVBM","BZH","Bumi Airport","Bumi Hills","Zimbabwe","-16.81699944","28.35000038"
"FVBU","BUQ","Joshua Mqabuko Nkomo International Airport","Bulawayo","Zimbabwe","-20.017401","28.617901"
"FVCH","CHJ","Chipinge Airport","Chipinge","Zimbabwe","-20.20669937","32.62829971"
"FVCP","","Charles Prince Airport","Harare","Zimbabwe","-17.75160027","30.92469978"
"FVCZ","BFO","Buffalo Range Airport","Chiredzi","Zimbabwe","-21.008101","31.5786"
"FVFA","VFA","Victoria Falls International Airport","Victoria Falls","Zimbabwe","-18.09589958","25.8390007"
"FVHA","HRE","Robert Gabriel Mugabe International Airport","Harare","Zimbabwe","-17.931801","31.0928"
"FVJN","BUQ","Joshua Mqabuko Nkomo International Airport","Bulawayo","Zimbabwe","-20.017401","28.617901"
"FVKB","KAB","Kariba International Airport","Kariba","Zimbabwe","-16.51980019","28.88500023"
"FVMH","MJW","Mahenye Airport","Gonarezhou National Park","Zimbabwe","-21.231","32.3336"
"FVMN","","Mana Pools Airport","Mana Pools","Zimbabwe","-15.768735","29.385617"
"FVMT","","Mutoko Airport","Mutoko","Zimbabwe","-17.43190002","32.18450165"
"FVMU","UTA","Mutare Airport","Mutare","Zimbabwe","-18.99749947","32.62720108"
"FVMV","MVZ","Masvingo International Airport","Masvingo","Zimbabwe","-20.05529976","30.85910034"
"FVRG","HRE","Robert Gabriel Mugabe International Airport","Harare","Zimbabwe","-17.931801","31.0928"
"FVSH","","Zvishavane Airport","Zvishavane","Zimbabwe","-20.28949928","30.08819962"
"FVSV","","Spray View Airport","Spray View","Zimbabwe","-17.91699982","25.81699944"
"FVTL","GWE","Thornhill Air Base","Gwert","Zimbabwe","-19.43639946","29.86190033"
"FVWN","HWN","Hwange National Park Airport","Hwange National Park","Zimbabwe","-18.62989998","27.02099991"
"FVWT","WKI","Hwange (Town) Airport","Hwange","Zimbabwe","-18.362967","26.519791"
"FWCD","CEH","Chelinda Malawi Airport","","Malawi","-10.55000019","33.79999924"
"FWCL","BLZ","Chileka International Airport","Blantyre","Malawi","-15.67910004","34.97399902"
"FWCM","CMK","Club Makokola Airport","Club Makokola","Malawi","-14.30690002","35.13249969"
"FWDW","DWA","Dwangwa Airport","Dwangwa","Malawi","-12.5183","34.131901"
"FWKA","KGJ","Karonga Airport","Karonga","Malawi","-9.953570366","33.89300156"
"FWKG","KBQ","Kasungu Airport","Kasungu","Malawi","-13.0145998","33.46860123"
"FWKI","LLW","Lilongwe International Airport","Lilongwe","Malawi","-13.7894001","33.78099823"
"FWLK","LIX","Likoma Island Airport","Likoma Island","Malawi","-12.075833","34.737222"
"FWMG","MAI","Mangochi Airport","Mangochi","Malawi","-14.4829998","35.26699829"
"FWMY","MYZ","Monkey Bay Airport","Monkey Bay","Malawi","-14.08360004","34.91970062"
"FWSM","LMB","Salima Airport","Salima","Malawi","-13.7558927","34.58418846"
"FWUU","ZZU","Mzuzu Airport","Mzuzu","Malawi","-11.44470024","34.01179886"
"FXLK","LEF","Lebakeng Airport","Lebakeng","Lesotho","-29.89080048","28.65559959"
"FXLR","LRB","Leribe Airport","Leribe","Lesotho","-28.85560036","28.05279922"
"FXLS","LES","Lesobeng Airport","Lesobeng","Lesotho","-29.78289986","28.31669998"
"FXMF","MFC","Mafeteng Airport","Mafeteng","Lesotho","-29.80109978","27.24360085"
"FXMK","MKH","Mokhotlong Airport","Mokhotlong","Lesotho","-29.28179932","29.07279968"
"FXMM","MSU","Moshoeshoe I International Airport","Maseru","Lesotho","-29.46229935","27.55249977"
"FXMN","","Mantsonyane Airport","Mantsonyane","Lesotho","-29.54610062","28.27099991"
"FXMU","","Mejametalana Airbase","Maseru","Lesotho","-29.30410004","27.50349998"
"FXNK","NKU","Nkaus Airport","Nkaus","Lesotho","-30.02169991","28.19689941"
"FXPG","PEL","Pelaneng Airport","Pelaneng","Lesotho","-29.12059975","28.50530052"
"FXQG","UTG","Quthing Airport","Quthing","Lesotho","-30.40749931","27.69330025"
"FXQN","UNE","Qacha's Nek Airport","Qacha's Nek","Lesotho","-30.11170006","28.6718998"
"FXSH","SHK","Sehonghong Airport","Sehonghong","Lesotho","-29.73089981","28.76889992"
"FXSK","SKQ","Sekakes Airport","Sekakes","Lesotho","-30.03890038","28.37030029"
"FXSM","SOK","Semonkong Airport","Semonkong","Lesotho","-29.83860016","28.05999947"
"FXSS","SHZ","Seshutes Airport","Seshutes","Lesotho","-29.26759911","28.5522995"
"FXTA","THB","Thaba-Tseka Airport","Thaba-Tseka","Lesotho","-29.52280045","28.61580086"
"FXTK","TKO","Tlokoeng Airport","Tlokoeng","Lesotho","-29.2329998","28.88299942"
"FYAA","AIW","Ai-Ais Airport","Ai-Ais","Namibia","-27.995","17.5966"
"FYAR","ADI","Arandis Airport","Arandis","Namibia","-22.46220016","14.97999954"
"FYBG","BQI","Bagani Airport","Bagani","Namibia","-18.11809921","21.62439919"
"FYGB","GOG","Gobabis Airport","Gobabis","Namibia","-22.50440025","18.97310066"
"FYGF","GFY","Grootfontein Airport","Grootfontein","Namibia","-19.60219955","18.12269974"
"FYGK","","Farm Whitwater East Landing Strip","Hardap","Namibia","-24.629999","15.9392"
"FYHI","HAL","Halali Airport","Halali","Namibia","-19.0285","16.4585"
"FYKB","KAS","Karasburg Airport","Karasburg","Namibia","-28.0297","18.7385"
"FYKM","MPA","Katima Mulilo Airport","Mpacha","Namibia","-17.634399","24.176701"
"FYKT","KMP","Keetmanshoop Airport","Keetmanshoop","Namibia","-26.53980064","18.1114006"
"FYLS","LHU","Lianshulu Airport","Lianshulu Lodge","Namibia","-18.11669922","23.3932991"
"FYLZ","LUD","Luderitz Airport","Luderitz","Namibia","-26.68740082","15.24289989"
"FYME","MJO","Mount Etjo Airport","Mount Etjo Safari Lodge","Namibia","-21.02330017","16.45280075"
"FYMG","MQG","Midgard Airport","Midgard","Namibia","-22.0106","17.37"
"FYML","","Mariental Airport","Mariental","Namibia","-24.60540009","17.92539978"
"FYMO","OKU","Mokuti Lodge Airport","Mokuti Lodge","Namibia","-18.81279945","17.05940056"
"FYNA","NNI","Namutoni Airport","Namutoni","Namibia","-18.8064","16.9272"
"FYOA","OND","Ondangwa Airport","Ondangwa","Namibia","-17.878201","15.9526"
"FYOE","OMG","Omega Airport","Omega","Namibia","-18.0303","22.189699"
"FYOG","OMD","Oranjemund Airport","Oranjemund","Namibia","-28.5847","16.446699"
"FYOO","OKF","Okaukuejo Airport","Okaukuejo","Namibia","-19.14920044","15.91189957"
"FYOP","OPW","Opuwa Airport","Opuwa","Namibia","-18.061424","13.85047"
"FYOS","OHI","Oshakati Airport","Oshakati","Namibia","-17.797","15.6993"
"FYOW","OTJ","Otjiwarongo Airport","Otjiwarongo","Namibia","-20.43470001","16.66080093"
"FYRU","NDU","Rundu Airport","Rundu","Namibia","-17.9564991","19.71940041"
"FYSA","RHN","Skorpion Mine Airport","Rosh Pinah","Namibia","-27.87639999","16.64780045"
"FYSM","SWP","Swakopmund Airport","Swakopmund","Namibia","-22.66189957","14.56809998"
"FYSS","SZM","Sesriem Airstrip","","Namibia","-24.51280022","15.74670029"
"FYTE","TCY","Terrace Bay Airport","Terrace Bay","Namibia","-19.9713","13.0249"
"FYTM","TSB","Tsumeb Airport","Tsumeb","Namibia","-19.26189995","17.73250008"
"FYWB","WVB","Walvis Bay Airport","Walvis Bay","Namibia","-22.9799","14.6453"
"FYWE","ERS","Eros Airport","Windhoek","Namibia","-22.61219978","17.08040047"
"FYWH","WDH","Hosea Kutako International Airport","Windhoek","Namibia","-22.4799","17.4709"
"FZAA","FIH","Ndjili International Airport","Kinshasa","Congo (Kinshasa)","-4.38575","15.4446"
"FZAB","NLO","Ndolo Airport","Kinshasa","Congo (Kinshasa)","-4.326660156","15.32750034"
"FZAG","MNB","Muanda Airport","Muanda","Congo (Kinshasa)","-5.930860043","12.35179996"
"FZAI","","Kitona Base Airport","Kitona Base","Congo (Kinshasa)","-5.918059826","12.44769955"
"FZAJ","BOA","Boma Airport","Boma","Congo (Kinshasa)","-5.854000092","13.06400013"
"FZAL","LZI","Luozi Airport","Luozi","Congo (Kinshasa)","-4.949999809","14.13300037"
"FZAM","MAT","Tshimpi Airport","Matadi","Congo (Kinshasa)","-5.799610138","13.44040012"
"FZAR","NKL","N'Kolo-Fuma Airport","N'Kolo-Fuma","Congo (Kinshasa)","-5.421","14.8169"
"FZBA","INO","Inongo Airport","Inongo","Congo (Kinshasa)","-1.947219968","18.28580093"
"FZBI","NIO","Nioki Airport","Nioki","Congo (Kinshasa)","-2.717499971","17.68470001"
"FZBO","FDU","Bandundu Airport","Bandoundu","Congo (Kinshasa)","-3.311320066","17.38170052"
"FZBT","KRZ","Basango Mboliasa Airport","Kiri","Congo (Kinshasa)","-1.434999943","19.02400017"
"FZCA","KKW","Kikwit Airport","Kikwit","Congo (Kinshasa)","-5.035769939","18.78560066"
"FZCB","IDF","Idiofa Airport","Idiofa","Congo (Kinshasa)","-5.0","19.60000038"
"FZCE","LUS","Lusanga Airport","Lusanga","Congo (Kinshasa)","-4.800000191","18.71699905"
"FZCF","","Kahemba Airport","Kahemba","Congo (Kinshasa)","-7.333000183","19.0170002"
"FZCV","MSM","Masi Manimba Airport","Masi Manimba","Congo (Kinshasa)","-4.782999992","17.85000038"
"FZEA","MDK","Mbandaka Airport","Mbandaka","Congo (Kinshasa)","0.022600001","18.2887001"
"FZEN","BSU","Basankusu Airport","Basankusu","Congo (Kinshasa)","1.224720001","19.78890038"
"FZFA","LIE","Libenge Airport","Libenge","Congo (Kinshasa)","3.632999897","18.63299942"
"FZFD","BDT","Gbadolite Airport","Gbadolite","Congo (Kinshasa)","4.253210068","20.97529984"
"FZFK","GMA","Gemena Airport","Gemena","Congo (Kinshasa)","3.235369921","19.77129936"
"FZFP","KLI","Kotakoli Airport","Kotakoli","Congo (Kinshasa)","4.15763998","21.65089989"
"FZFU","BMB","Bumbar Airport","Bumba","Congo (Kinshasa)","2.18278","22.481701"
"FZGA","LIQ","Lisala Airport","Lisala","Congo (Kinshasa)","2.17066","21.496901"
"FZGN","BNB","Boende Airport","Boende","Congo (Kinshasa)","-0.216999993","20.85000038"
"FZGV","IKL","Ikela Airport","Ikela","Congo (Kinshasa)","-1.048109","23.372501"
"FZIC","FKI","Bangoka International Airport","Kisangani","Congo (Kinshasa)","0.481638998","25.33799934"
"FZIR","YAN","Yangambi Airport","Yangambi","Congo (Kinshasa)","0.782999992","24.46699905"
"FZJH","IRP","Matari Airport","Isiro","Congo (Kinshasa)","2.827610016","27.5883007"
"FZKA","BUX","Bunia Airport","Bunia","Congo (Kinshasa)","1.565719962","30.2208004"
"FZKJ","BZU","Buta Zega Airport","Buta Zega","Congo (Kinshasa)","2.818350077","24.79369926"
"FZMA","BKY","Bukavu Kavumu Airport","Bukavu/kavumu","Congo (Kinshasa)","-2.308979988","28.80879974"
"FZMB","RUE","Rughenda Airfield","Butembo","Congo (Kinshasa)","0.117142","29.312992"
"FZNA","GOM","Goma International Airport","Goma","Congo (Kinshasa)","-1.670809984","29.2385006"
"FZNP","BNC","Beni Airport","Beni","Congo (Kinshasa)","0.575","29.4739"
"FZOA","KND","Kindu Airport","Kindu","Congo (Kinshasa)","-2.919179916","25.91539955"
"FZOD","KLY","Kinkungwa Airport","Kalima","Congo (Kinshasa)","-2.578000069","26.73399925"
